"","Time","DayOfWeek","Month","DayOfMonth","Year","Hour","Minute"
"30",2024-07-11 20:30:40,"Thu","Jul",11,2024,20,30
"31",2024-07-11 19:45:52,"Thu","Jul",11,2024,19,45
"32",2024-07-11 17:25:37,"Thu","Jul",11,2024,17,25
"33",2024-07-11 17:13:35,"Thu","Jul",11,2024,17,13
"34",2024-07-11 17:13:23,"Thu","Jul",11,2024,17,13
"35",2024-07-11 16:51:46,"Thu","Jul",11,2024,16,51
"36",2024-07-11 16:45:14,"Thu","Jul",11,2024,16,45
"37",2024-07-11 16:30:50,"Thu","Jul",11,2024,16,30
"38",2024-07-11 16:05:27,"Thu","Jul",11,2024,16,5
"39",2024-07-11 15:34:37,"Thu","Jul",11,2024,15,34
"40",2024-07-11 14:58:10,"Thu","Jul",11,2024,14,58
"41",2024-07-11 14:40:18,"Thu","Jul",11,2024,14,40
"42",2024-07-11 14:34:02,"Thu","Jul",11,2024,14,34
"43",2024-07-11 14:11:11,"Thu","Jul",11,2024,14,11
"44",2024-07-11 14:09:14,"Thu","Jul",11,2024,14,9
"45",2024-07-11 13:18:13,"Thu","Jul",11,2024,13,18
"46",2024-07-11 13:09:26,"Thu","Jul",11,2024,13,9
"47",2024-07-11 13:05:57,"Thu","Jul",11,2024,13,5
"48",2024-07-11 12:48:06,"Thu","Jul",11,2024,12,48
"49",2024-07-11 12:11:30,"Thu","Jul",11,2024,12,11
"50",2024-07-11 12:01:18,"Thu","Jul",11,2024,12,1
"51",2024-07-11 11:55:31,"Thu","Jul",11,2024,11,55
"52",2024-07-11 00:30:08,"Thu","Jul",11,2024,0,30
"53",2024-07-10 23:20:29,"Wed","Jul",10,2024,23,20
"54",2024-07-10 23:18:40,"Wed","Jul",10,2024,23,18
"55",2024-07-10 20:14:13,"Wed","Jul",10,2024,20,14
"56",2024-07-10 19:46:56,"Wed","Jul",10,2024,19,46
"57",2024-07-10 19:54:19,"Wed","Jul",10,2024,19,54
"58",2024-07-10 19:20:33,"Wed","Jul",10,2024,19,20
"59",2024-07-10 15:40:05,"Wed","Jul",10,2024,15,40
"60",2024-07-10 14:10:20,"Wed","Jul",10,2024,14,10
"61",2024-07-10 12:07:31,"Wed","Jul",10,2024,12,7
"62",2024-07-10 08:17:31,"Wed","Jul",10,2024,8,17
"63",2024-07-10 06:30:29,"Wed","Jul",10,2024,6,30
"64",2024-07-10 00:23:37,"Wed","Jul",10,2024,0,23
"65",2024-07-09 22:01:02,"Tue","Jul",9,2024,22,1
"66",2024-07-09 21:06:12,"Tue","Jul",9,2024,21,6
"67",2024-07-09 19:41:30,"Tue","Jul",9,2024,19,41
"68",2024-07-09 19:12:18,"Tue","Jul",9,2024,19,12
"69",2024-07-09 16:52:34,"Tue","Jul",9,2024,16,52
"70",2024-07-09 16:22:54,"Tue","Jul",9,2024,16,22
"71",2024-07-09 15:13:34,"Tue","Jul",9,2024,15,13
"72",2024-07-09 15:11:57,"Tue","Jul",9,2024,15,11
"73",2024-07-09 14:33:59,"Tue","Jul",9,2024,14,33
"74",2024-07-09 11:55:15,"Tue","Jul",9,2024,11,55
"75",2024-07-09 07:11:23,"Tue","Jul",9,2024,7,11
"76",2024-07-09 00:27:48,"Tue","Jul",9,2024,0,27
"77",2024-07-09 00:23:36,"Tue","Jul",9,2024,0,23
"78",2024-07-08 21:18:14,"Mon","Jul",8,2024,21,18
"79",2024-07-08 20:18:53,"Mon","Jul",8,2024,20,18
"80",2024-07-08 18:16:52,"Mon","Jul",8,2024,18,16
"81",2024-07-08 16:55:20,"Mon","Jul",8,2024,16,55
"82",2024-07-08 16:49:57,"Mon","Jul",8,2024,16,49
"83",2024-07-08 15:28:56,"Mon","Jul",8,2024,15,28
"84",2024-07-08 14:08:14,"Mon","Jul",8,2024,14,8
"85",2024-07-08 14:07:33,"Mon","Jul",8,2024,14,7
"86",2024-07-08 14:04:56,"Mon","Jul",8,2024,14,4
"87",2024-07-08 13:42:50,"Mon","Jul",8,2024,13,42
"88",2024-07-08 13:25:17,"Mon","Jul",8,2024,13,25
"89",2024-07-08 13:08:04,"Mon","Jul",8,2024,13,8
"90",2024-07-08 13:00:54,"Mon","Jul",8,2024,13,0
"91",2024-07-08 12:49:47,"Mon","Jul",8,2024,12,49
"92",2024-07-08 12:44:21,"Mon","Jul",8,2024,12,44
"93",2024-07-08 12:32:04,"Mon","Jul",8,2024,12,32
"94",2024-07-08 12:04:04,"Mon","Jul",8,2024,12,4
"95",2024-07-08 11:53:11,"Mon","Jul",8,2024,11,53
"96",2024-07-08 11:34:04,"Mon","Jul",8,2024,11,34
"97",2024-07-08 11:22:04,"Mon","Jul",8,2024,11,22
"98",2024-07-08 08:20:25,"Mon","Jul",8,2024,8,20
"99",2024-07-08 06:00:01,"Mon","Jul",8,2024,6,0
"100",2024-07-08 05:01:01,"Mon","Jul",8,2024,5,1
"101",2024-07-08 00:24:27,"Mon","Jul",8,2024,0,24
"102",2024-07-08 00:11:05,"Mon","Jul",8,2024,0,11
"103",2024-07-07 17:11:47,"Sun","Jul",7,2024,17,11
"104",2024-07-07 16:42:52,"Sun","Jul",7,2024,16,42
"105",2024-07-07 14:44:45,"Sun","Jul",7,2024,14,44
"106",2024-07-07 14:33:54,"Sun","Jul",7,2024,14,33
"107",2024-07-07 13:19:18,"Sun","Jul",7,2024,13,19
"108",2024-07-07 12:54:03,"Sun","Jul",7,2024,12,54
"109",2024-07-07 10:06:25,"Sun","Jul",7,2024,10,6
"110",2024-07-07 04:24:09,"Sun","Jul",7,2024,4,24
"111",2024-07-07 04:03:52,"Sun","Jul",7,2024,4,3
"112",2024-07-07 00:23:37,"Sun","Jul",7,2024,0,23
"113",2024-07-06 22:56:27,"Sat","Jul",6,2024,22,56
"114",2024-07-06 21:01:34,"Sat","Jul",6,2024,21,1
"115",2024-07-06 17:41:48,"Sat","Jul",6,2024,17,41
"116",2024-07-06 15:32:23,"Sat","Jul",6,2024,15,32
"117",2024-07-06 13:49:55,"Sat","Jul",6,2024,13,49
"118",2024-07-06 11:45:52,"Sat","Jul",6,2024,11,45
"119",2024-07-06 04:02:08,"Sat","Jul",6,2024,4,2
"120",2024-07-06 03:15:33,"Sat","Jul",6,2024,3,15
"121",2024-07-06 00:23:35,"Sat","Jul",6,2024,0,23
"122",2024-07-05 23:48:35,"Fri","Jul",5,2024,23,48
"123",2024-07-05 20:26:18,"Fri","Jul",5,2024,20,26
"124",2024-07-05 20:24:52,"Fri","Jul",5,2024,20,24
"125",2024-07-05 20:24:19,"Fri","Jul",5,2024,20,24
"126",2024-07-05 19:58:04,"Fri","Jul",5,2024,19,58
"127",2024-07-05 17:42:18,"Fri","Jul",5,2024,17,42
"128",2024-07-05 17:29:27,"Fri","Jul",5,2024,17,29
"129",2024-07-05 14:58:16,"Fri","Jul",5,2024,14,58
"130",2024-07-05 13:13:15,"Fri","Jul",5,2024,13,13
"131",2024-07-05 13:07:51,"Fri","Jul",5,2024,13,7
"132",2024-07-05 12:55:35,"Fri","Jul",5,2024,12,55
"133",2024-07-05 12:32:03,"Fri","Jul",5,2024,12,32
"134",2024-07-05 12:20:26,"Fri","Jul",5,2024,12,20
"135",2024-07-05 12:09:05,"Fri","Jul",5,2024,12,9
"136",2024-07-05 07:36:54,"Fri","Jul",5,2024,7,36
"137",2024-07-05 04:59:49,"Fri","Jul",5,2024,4,59
"138",2024-07-05 00:23:36,"Fri","Jul",5,2024,0,23
"139",2024-07-04 23:27:05,"Thu","Jul",4,2024,23,27
"140",2024-07-04 22:53:19,"Thu","Jul",4,2024,22,53
"141",2024-07-04 21:26:38,"Thu","Jul",4,2024,21,26
"142",2024-07-04 18:02:28,"Thu","Jul",4,2024,18,2
"143",2024-07-04 14:22:24,"Thu","Jul",4,2024,14,22
"144",2024-07-04 14:11:53,"Thu","Jul",4,2024,14,11
"145",2024-07-04 13:04:20,"Thu","Jul",4,2024,13,4
"146",2024-07-04 12:46:06,"Thu","Jul",4,2024,12,46
"147",2024-07-04 10:39:36,"Thu","Jul",4,2024,10,39
"148",2024-07-04 10:29:28,"Thu","Jul",4,2024,10,29
"149",2024-07-04 08:40:10,"Thu","Jul",4,2024,8,40
"150",2024-07-04 03:15:52,"Thu","Jul",4,2024,3,15
"151",2024-07-04 01:36:47,"Thu","Jul",4,2024,1,36
"152",2024-07-04 01:20:32,"Thu","Jul",4,2024,1,20
"153",2024-07-04 00:24:42,"Thu","Jul",4,2024,0,24
"154",2024-07-03 20:49:31,"Wed","Jul",3,2024,20,49
"155",2024-07-03 20:06:39,"Wed","Jul",3,2024,20,6
"156",2024-07-03 20:02:34,"Wed","Jul",3,2024,20,2
"157",2024-07-03 20:02:18,"Wed","Jul",3,2024,20,2
"158",2024-07-03 17:49:28,"Wed","Jul",3,2024,17,49
"159",2024-07-03 17:04:33,"Wed","Jul",3,2024,17,4
"160",2024-07-03 16:50:13,"Wed","Jul",3,2024,16,50
"161",2024-07-03 16:49:58,"Wed","Jul",3,2024,16,49
"162",2024-07-03 16:49:18,"Wed","Jul",3,2024,16,49
"163",2024-07-03 16:16:53,"Wed","Jul",3,2024,16,16
"164",2024-07-03 15:43:25,"Wed","Jul",3,2024,15,43
"165",2024-07-03 13:46:15,"Wed","Jul",3,2024,13,46
"166",2024-07-03 10:07:14,"Wed","Jul",3,2024,10,7
"167",2024-07-03 10:21:06,"Wed","Jul",3,2024,10,21
"168",2024-07-03 02:44:56,"Wed","Jul",3,2024,2,44
"169",2024-07-02 22:01:06,"Tue","Jul",2,2024,22,1
"170",2024-07-02 21:46:08,"Tue","Jul",2,2024,21,46
"171",2024-07-02 19:30:33,"Tue","Jul",2,2024,19,30
"172",2024-07-02 18:40:45,"Tue","Jul",2,2024,18,40
"173",2024-07-02 18:06:26,"Tue","Jul",2,2024,18,6
"174",2024-07-02 18:05:09,"Tue","Jul",2,2024,18,5
"175",2024-07-02 15:10:37,"Tue","Jul",2,2024,15,10
"176",2024-07-02 14:19:42,"Tue","Jul",2,2024,14,19
"177",2024-07-02 11:50:21,"Tue","Jul",2,2024,11,50
"178",2024-07-02 08:40:09,"Tue","Jul",2,2024,8,40
"179",2024-07-02 06:58:17,"Tue","Jul",2,2024,6,58
"180",2024-07-02 03:05:16,"Tue","Jul",2,2024,3,5
"181",2024-07-02 03:05:04,"Tue","Jul",2,2024,3,5
"182",2024-07-02 02:48:55,"Tue","Jul",2,2024,2,48
"183",2024-07-02 02:48:23,"Tue","Jul",2,2024,2,48
"184",2024-07-02 01:25:18,"Tue","Jul",2,2024,1,25
"185",2024-07-01 22:12:22,"Mon","Jul",1,2024,22,12
"186",2024-07-01 21:15:26,"Mon","Jul",1,2024,21,15
"187",2024-07-01 20:26:45,"Mon","Jul",1,2024,20,26
"188",2024-07-01 19:55:21,"Mon","Jul",1,2024,19,55
"189",2024-07-01 19:34:55,"Mon","Jul",1,2024,19,34
"190",2024-07-01 19:21:07,"Mon","Jul",1,2024,19,21
"191",2024-07-01 18:06:09,"Mon","Jul",1,2024,18,6
"192",2024-07-01 17:00:44,"Mon","Jul",1,2024,17,0
"193",2024-07-01 16:05:04,"Mon","Jul",1,2024,16,5
"194",2024-07-01 16:01:14,"Mon","Jul",1,2024,16,1
"195",2024-07-01 13:21:53,"Mon","Jul",1,2024,13,21
"196",2024-07-01 13:07:33,"Mon","Jul",1,2024,13,7
"197",2024-07-01 13:03:38,"Mon","Jul",1,2024,13,3
"198",2024-07-01 12:50:11,"Mon","Jul",1,2024,12,50
"199",2024-07-01 09:23:07,"Mon","Jul",1,2024,9,23
"200",2024-07-01 09:06:23,"Mon","Jul",1,2024,9,6
"201",2024-07-01 01:02:33,"Mon","Jul",1,2024,1,2
"202",2024-07-01 00:14:10,"Mon","Jul",1,2024,0,14
"203",2024-07-01 00:13:36,"Mon","Jul",1,2024,0,13
"204",2024-07-01 00:06:39,"Mon","Jul",1,2024,0,6
"205",2024-06-30 21:24:36,"Sun","Jun",30,2024,21,24
"206",2024-06-30 18:01:19,"Sun","Jun",30,2024,18,1
"207",2024-06-30 16:44:47,"Sun","Jun",30,2024,16,44
"208",2024-06-30 16:02:17,"Sun","Jun",30,2024,16,2
"209",2024-06-30 01:34:29,"Sun","Jun",30,2024,1,34
"210",2024-06-30 01:34:18,"Sun","Jun",30,2024,1,34
"211",2024-06-29 21:23:48,"Sat","Jun",29,2024,21,23
"212",2024-06-29 12:36:25,"Sat","Jun",29,2024,12,36
"213",2024-06-29 12:15:35,"Sat","Jun",29,2024,12,15
"214",2024-06-29 08:54:22,"Sat","Jun",29,2024,8,54
"215",2024-06-29 02:12:13,"Sat","Jun",29,2024,2,12
"216",2024-06-28 23:06:15,"Fri","Jun",28,2024,23,6
"217",2024-06-28 22:30:27,"Fri","Jun",28,2024,22,30
"218",2024-06-28 20:16:51,"Fri","Jun",28,2024,20,16
"219",2024-06-28 18:09:25,"Fri","Jun",28,2024,18,9
"220",2024-06-28 17:45:07,"Fri","Jun",28,2024,17,45
"221",2024-06-28 17:03:14,"Fri","Jun",28,2024,17,3
"222",2024-06-28 16:49:32,"Fri","Jun",28,2024,16,49
"223",2024-06-28 14:41:40,"Fri","Jun",28,2024,14,41
"224",2024-06-28 14:05:08,"Fri","Jun",28,2024,14,5
"225",2024-06-28 13:41:49,"Fri","Jun",28,2024,13,41
"226",2024-06-28 13:39:44,"Fri","Jun",28,2024,13,39
"227",2024-06-28 13:39:56,"Fri","Jun",28,2024,13,39
"228",2024-06-28 13:01:44,"Fri","Jun",28,2024,13,1
"229",2024-06-28 07:47:28,"Fri","Jun",28,2024,7,47
"230",2024-06-28 06:04:11,"Fri","Jun",28,2024,6,4
"231",2024-06-28 04:10:11,"Fri","Jun",28,2024,4,10
"232",2024-06-28 02:32:13,"Fri","Jun",28,2024,2,32
"233",2024-06-27 23:01:55,"Thu","Jun",27,2024,23,1
"234",2024-06-27 22:24:15,"Thu","Jun",27,2024,22,24
"235",2024-06-27 22:13:39,"Thu","Jun",27,2024,22,13
"236",2024-06-27 22:08:25,"Thu","Jun",27,2024,22,8
"237",2024-06-27 21:15:19,"Thu","Jun",27,2024,21,15
"238",2024-06-27 20:20:45,"Thu","Jun",27,2024,20,20
"239",2024-06-27 20:15:18,"Thu","Jun",27,2024,20,15
"240",2024-06-27 19:25:08,"Thu","Jun",27,2024,19,25
"241",2024-06-27 18:31:19,"Thu","Jun",27,2024,18,31
"242",2024-06-27 18:21:06,"Thu","Jun",27,2024,18,21
"243",2024-06-27 18:04:27,"Thu","Jun",27,2024,18,4
"244",2024-06-27 18:00:19,"Thu","Jun",27,2024,18,0
"245",2024-06-27 17:18:56,"Thu","Jun",27,2024,17,18
"246",2024-06-27 15:56:00,"Thu","Jun",27,2024,15,56
"247",2024-06-27 15:06:00,"Thu","Jun",27,2024,15,6
"248",2024-06-27 14:00:56,"Thu","Jun",27,2024,14,0
"249",2024-06-27 13:32:29,"Thu","Jun",27,2024,13,32
"250",2024-06-27 12:08:26,"Thu","Jun",27,2024,12,8
"251",2024-06-27 11:42:45,"Thu","Jun",27,2024,11,42
"252",2024-06-27 11:32:00,"Thu","Jun",27,2024,11,32
"253",2024-06-27 11:30:00,"Thu","Jun",27,2024,11,30
"254",2024-06-27 10:49:17,"Thu","Jun",27,2024,10,49
"255",2024-06-27 04:06:19,"Thu","Jun",27,2024,4,6
"256",2024-06-27 02:34:30,"Thu","Jun",27,2024,2,34
"257",2024-06-26 23:54:32,"Wed","Jun",26,2024,23,54
"258",2024-06-26 23:54:32,"Wed","Jun",26,2024,23,54
"259",2024-06-26 22:32:49,"Wed","Jun",26,2024,22,32
"260",2024-06-26 22:11:25,"Wed","Jun",26,2024,22,11
"261",2024-06-26 21:43:51,"Wed","Jun",26,2024,21,43
"262",2024-06-26 20:53:11,"Wed","Jun",26,2024,20,53
"263",2024-06-26 20:19:29,"Wed","Jun",26,2024,20,19
"264",2024-06-26 18:12:48,"Wed","Jun",26,2024,18,12
"265",2024-06-26 17:54:42,"Wed","Jun",26,2024,17,54
"266",2024-06-26 16:53:39,"Wed","Jun",26,2024,16,53
"267",2024-06-26 16:26:58,"Wed","Jun",26,2024,16,26
"268",2024-06-26 16:23:12,"Wed","Jun",26,2024,16,23
"269",2024-06-26 01:53:19,"Wed","Jun",26,2024,1,53
"270",2024-06-25 22:48:57,"Tue","Jun",25,2024,22,48
"271",2024-06-25 22:00:50,"Tue","Jun",25,2024,22,0
"272",2024-06-25 21:59:27,"Tue","Jun",25,2024,21,59
"273",2024-06-25 18:41:50,"Tue","Jun",25,2024,18,41
"274",2024-06-25 17:09:59,"Tue","Jun",25,2024,17,9
"275",2024-06-25 16:26:58,"Tue","Jun",25,2024,16,26
"276",2024-06-25 15:56:39,"Tue","Jun",25,2024,15,56
"277",2024-06-25 15:39:12,"Tue","Jun",25,2024,15,39
"278",2024-06-25 15:05:52,"Tue","Jun",25,2024,15,5
"279",2024-06-25 14:52:33,"Tue","Jun",25,2024,14,52
"280",2024-06-25 14:36:02,"Tue","Jun",25,2024,14,36
"281",2024-06-25 14:10:46,"Tue","Jun",25,2024,14,10
"282",2024-06-25 14:08:45,"Tue","Jun",25,2024,14,8
"283",2024-06-25 14:03:38,"Tue","Jun",25,2024,14,3
"284",2024-06-25 13:46:58,"Tue","Jun",25,2024,13,46
"285",2024-06-25 13:37:19,"Tue","Jun",25,2024,13,37
"286",2024-06-25 13:33:36,"Tue","Jun",25,2024,13,33
"287",2024-06-25 12:37:48,"Tue","Jun",25,2024,12,37
"288",2024-06-25 04:13:07,"Tue","Jun",25,2024,4,13
"289",2024-06-25 00:39:24,"Tue","Jun",25,2024,0,39
"290",2024-06-24 16:16:26,"Mon","Jun",24,2024,16,16
"291",2024-06-24 16:07:25,"Mon","Jun",24,2024,16,7
"292",2024-06-24 14:50:08,"Mon","Jun",24,2024,14,50
"293",2024-06-24 14:39:24,"Mon","Jun",24,2024,14,39
"294",2024-06-24 14:00:40,"Mon","Jun",24,2024,14,0
"295",2024-06-24 12:50:07,"Mon","Jun",24,2024,12,50
"296",2024-06-24 00:35:34,"Mon","Jun",24,2024,0,35
"297",2024-06-24 00:18:17,"Mon","Jun",24,2024,0,18
"298",2024-06-24 00:05:12,"Mon","Jun",24,2024,0,5
"299",2024-06-23 23:52:46,"Sun","Jun",23,2024,23,52
"300",2024-06-23 21:36:36,"Sun","Jun",23,2024,21,36
"301",2024-06-23 20:02:12,"Sun","Jun",23,2024,20,2
"302",2024-06-23 18:54:28,"Sun","Jun",23,2024,18,54
"303",2024-06-23 15:04:19,"Sun","Jun",23,2024,15,4
"304",2024-06-23 13:11:35,"Sun","Jun",23,2024,13,11
"305",2024-06-23 12:31:58,"Sun","Jun",23,2024,12,31
"306",2024-06-23 10:41:30,"Sun","Jun",23,2024,10,41
"307",2024-06-23 08:15:13,"Sun","Jun",23,2024,8,15
"308",2024-06-23 04:49:45,"Sun","Jun",23,2024,4,49
"309",2024-06-23 02:33:21,"Sun","Jun",23,2024,2,33
"310",2024-06-22 23:06:25,"Sat","Jun",22,2024,23,6
"311",2024-06-22 23:03:25,"Sat","Jun",22,2024,23,3
"312",2024-06-22 22:23:14,"Sat","Jun",22,2024,22,23
"313",2024-06-22 22:21:25,"Sat","Jun",22,2024,22,21
"314",2024-06-22 13:04:09,"Sat","Jun",22,2024,13,4
"315",2024-06-22 08:12:28,"Sat","Jun",22,2024,8,12
"316",2024-06-22 06:05:03,"Sat","Jun",22,2024,6,5
"317",2024-06-21 21:09:30,"Fri","Jun",21,2024,21,9
"318",2024-06-21 17:43:31,"Fri","Jun",21,2024,17,43
"319",2024-06-21 16:12:07,"Fri","Jun",21,2024,16,12
"320",2024-06-21 15:52:35,"Fri","Jun",21,2024,15,52
"321",2024-06-21 14:39:42,"Fri","Jun",21,2024,14,39
"322",2024-06-21 14:15:53,"Fri","Jun",21,2024,14,15
"323",2024-06-21 14:11:14,"Fri","Jun",21,2024,14,11
"324",2024-06-21 14:03:23,"Fri","Jun",21,2024,14,3
"325",2024-06-21 13:50:12,"Fri","Jun",21,2024,13,50
"326",2024-06-21 13:07:06,"Fri","Jun",21,2024,13,7
"327",2024-06-21 12:18:20,"Fri","Jun",21,2024,12,18
"328",2024-06-21 11:08:02,"Fri","Jun",21,2024,11,8
"329",2024-06-21 10:15:27,"Fri","Jun",21,2024,10,15
"330",2024-06-21 09:15:48,"Fri","Jun",21,2024,9,15
"331",2024-06-21 00:03:05,"Fri","Jun",21,2024,0,3
"332",2024-06-20 21:43:31,"Thu","Jun",20,2024,21,43
"333",2024-06-20 21:33:31,"Thu","Jun",20,2024,21,33
"334",2024-06-20 20:45:39,"Thu","Jun",20,2024,20,45
"335",2024-06-20 20:45:11,"Thu","Jun",20,2024,20,45
"336",2024-06-20 20:23:16,"Thu","Jun",20,2024,20,23
"337",2024-06-20 17:30:52,"Thu","Jun",20,2024,17,30
"338",2024-06-20 17:07:38,"Thu","Jun",20,2024,17,7
"339",2024-06-20 17:02:20,"Thu","Jun",20,2024,17,2
"340",2024-06-20 16:48:03,"Thu","Jun",20,2024,16,48
"341",2024-06-20 16:25:10,"Thu","Jun",20,2024,16,25
"342",2024-06-20 14:07:32,"Thu","Jun",20,2024,14,7
"343",2024-06-20 12:10:18,"Thu","Jun",20,2024,12,10
"344",2024-06-20 03:02:01,"Thu","Jun",20,2024,3,2
"345",2024-06-19 21:09:44,"Wed","Jun",19,2024,21,9
"346",2024-06-19 20:13:34,"Wed","Jun",19,2024,20,13
"347",2024-06-19 18:48:16,"Wed","Jun",19,2024,18,48
"348",2024-06-19 17:51:22,"Wed","Jun",19,2024,17,51
"349",2024-06-19 16:00:09,"Wed","Jun",19,2024,16,0
"350",2024-06-19 14:22:02,"Wed","Jun",19,2024,14,22
"351",2024-06-19 13:29:52,"Wed","Jun",19,2024,13,29
"352",2024-06-19 12:57:54,"Wed","Jun",19,2024,12,57
"353",2024-06-19 05:52:10,"Wed","Jun",19,2024,5,52
"354",2024-06-18 22:01:06,"Tue","Jun",18,2024,22,1
"355",2024-06-18 21:21:36,"Tue","Jun",18,2024,21,21
"356",2024-06-18 15:36:17,"Tue","Jun",18,2024,15,36
"357",2024-06-17 23:06:43,"Mon","Jun",17,2024,23,6
"358",2024-06-18 13:30:56,"Tue","Jun",18,2024,13,30
"359",2024-06-18 13:17:22,"Tue","Jun",18,2024,13,17
"360",2024-06-18 03:22:26,"Tue","Jun",18,2024,3,22
"361",2024-06-18 00:46:54,"Tue","Jun",18,2024,0,46
"362",2024-06-17 17:15:27,"Mon","Jun",17,2024,17,15
"363",2024-06-17 16:38:26,"Mon","Jun",17,2024,16,38
"364",2024-06-17 12:49:55,"Mon","Jun",17,2024,12,49
"365",2024-06-17 11:56:29,"Mon","Jun",17,2024,11,56
"366",2024-06-17 10:14:00,"Mon","Jun",17,2024,10,14
"367",2024-06-17 09:40:17,"Mon","Jun",17,2024,9,40
"368",2024-06-17 00:04:45,"Mon","Jun",17,2024,0,4
"369",2024-06-16 21:53:55,"Sun","Jun",16,2024,21,53
"370",2024-06-16 17:58:38,"Sun","Jun",16,2024,17,58
"371",2024-06-16 14:16:06,"Sun","Jun",16,2024,14,16
"372",2024-06-16 11:01:42,"Sun","Jun",16,2024,11,1
"373",2024-06-15 22:38:29,"Sat","Jun",15,2024,22,38
"374",2024-06-15 22:21:19,"Sat","Jun",15,2024,22,21
"375",2024-06-15 21:41:59,"Sat","Jun",15,2024,21,41
"376",2024-06-15 16:37:00,"Sat","Jun",15,2024,16,37
"377",2024-06-15 16:36:27,"Sat","Jun",15,2024,16,36
"378",2024-06-15 16:23:48,"Sat","Jun",15,2024,16,23
"379",2024-06-15 16:16:28,"Sat","Jun",15,2024,16,16
"380",2024-06-15 14:30:31,"Sat","Jun",15,2024,14,30
"381",2024-06-15 14:02:42,"Sat","Jun",15,2024,14,2
"382",2024-06-15 06:00:00,"Sat","Jun",15,2024,6,0
"383",2024-06-15 02:31:52,"Sat","Jun",15,2024,2,31
"384",2024-06-14 22:11:28,"Fri","Jun",14,2024,22,11
"385",2024-06-14 20:57:33,"Fri","Jun",14,2024,20,57
"386",2024-06-14 16:52:04,"Fri","Jun",14,2024,16,52
"387",2024-06-14 16:35:59,"Fri","Jun",14,2024,16,35
"388",2024-06-14 15:20:56,"Fri","Jun",14,2024,15,20
"389",2024-06-14 14:34:36,"Fri","Jun",14,2024,14,34
"390",2024-06-13 23:00:36,"Thu","Jun",13,2024,23,0
"391",2024-06-13 22:33:56,"Thu","Jun",13,2024,22,33
"392",2024-06-13 20:36:03,"Thu","Jun",13,2024,20,36
"393",2024-06-13 20:02:49,"Thu","Jun",13,2024,20,2
"394",2024-06-13 19:59:32,"Thu","Jun",13,2024,19,59
"395",2024-06-13 19:58:19,"Thu","Jun",13,2024,19,58
"396",2024-06-13 19:57:12,"Thu","Jun",13,2024,19,57
"397",2024-06-13 19:57:12,"Thu","Jun",13,2024,19,57
"398",2024-06-13 18:43:58,"Thu","Jun",13,2024,18,43
"399",2024-06-13 18:15:42,"Thu","Jun",13,2024,18,15
"400",2024-06-13 17:12:36,"Thu","Jun",13,2024,17,12
"401",2024-06-13 17:05:14,"Thu","Jun",13,2024,17,5
"402",2024-06-13 16:08:52,"Thu","Jun",13,2024,16,8
"403",2024-06-13 14:11:57,"Thu","Jun",13,2024,14,11
"404",2024-06-13 13:49:22,"Thu","Jun",13,2024,13,49
"405",2024-06-13 10:48:34,"Thu","Jun",13,2024,10,48
"406",2024-06-13 07:32:43,"Thu","Jun",13,2024,7,32
"407",2024-06-12 22:00:16,"Wed","Jun",12,2024,22,0
"408",2024-06-12 20:30:05,"Wed","Jun",12,2024,20,30
"409",2024-06-12 20:50:59,"Wed","Jun",12,2024,20,50
